experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,self_cond,cross_layer_state,global_step,metrics_file
sp03_d768_sd1_mh1_topk384,ctm,5.502861046791077,2060.591360490541,46969.26416015625,2.0,2.1666667461395264,4,-1.0,0.5,0.11997057677335599,44.92396444507753,0.12249277450832913,"[6.686424, 6.528923, 6.574482, 6.54584]","[0.755179, 0.731925, 0.70661, 0.730587]",768,16,768,256,4,8,1,1,1,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp03_d768_sd1_mh1_topk384.csv
sp03_d768_sd1_mh2_topk384,ctm,5.442871499061584,1924.2382484128836,52155.30908203125,2.1666667461395264,2.0833334922790527,4,-1.0,0.5,0.10686352958378434,37.77985407536679,0.14406809216900718,"[6.631064, 6.568061, 6.471662, 6.466606]","[0.762549, 0.754578, 0.732076, 0.710627]",768,16,768,256,4,8,2,1,1,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp03_d768_sd1_mh2_topk384.csv
sp03_d768_sd2_mh1_topk384,ctm,5.509098601341248,1983.61917372363,50696.0400390625,2.1666667461395264,2.5833334922790527,4,-1.0,0.5,0.1112772706394162,40.06675930364362,0.13749798329310492,"[6.778967, 6.657993, 6.593364, 6.552629]","[0.748385, 0.749531, 0.740556, 0.734291]",768,16,768,256,4,8,1,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp03_d768_sd2_mh1_topk384.csv
sp03_d768_sd2_mh2_topk384,ctm,5.523013353347778,1864.576024990009,55885.74267578125,2.1666667461395264,2.8333334922790527,4,-1.0,0.5,0.10119872087302566,34.16481124115397,0.16165795017462037,"[6.768301, 6.72121, 6.584933, 6.531003]","[0.754095, 0.748652, 0.740419, 0.712956]",768,16,768,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp03_d768_sd2_mh2_topk384.csv
sp04_d1024_topk512_tick1,ctm,5.432625198364258,4277.21036637381,24996.01123046875,0.0,0.0,1,-1.0,0.5,0.22255583708267831,175.22249349240053,0.031004154147594488,[6.299108],[0.722649],768,16,1024,256,1,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp04_d1024_topk512_tick1.csv
sp04_d1024_topk512_tick2,ctm,5.4226579666137695,2577.2806142865497,40460.634765625,0.75,0.8333333730697632,2,-1.0,0.5,0.13723961054931624,65.22723541825431,0.08313487352088816,"[6.443081, 6.384643]","[0.729469, 0.712312]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp04_d1024_topk512_tick2.csv
sp04_d1024_topk512_tick4,ctm,5.450356221199035,1449.3457262720494,70264.3994140625,2.3333334922790527,3.0,4,-1.0,0.5,0.07943090408584372,21.122076557670674,0.2580407379131333,"[6.797069, 6.660718, 6.572472, 6.505774]","[0.844808, 0.765738, 0.751542, 0.720165]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp04_d1024_topk512_tick4.csv
sp04_d512_topk256_tick1,ctm,5.297904896736145,7455.457687566173,16575.3134765625,0.0,0.0,1,-1.0,0.5,0.32729725576103536,460.5878907124617,0.011502484115552986,[6.113395],[0.69503],768,16,512,256,1,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp04_d512_topk256_tick1.csv
sp04_d512_topk256_tick2,ctm,5.41663007736206,4623.1632151147,25078.10888671875,0.5833333730697632,0.9166666865348816,2,-1.0,0.5,0.2211741413307372,188.77496519622417,0.028693582709612395,"[6.502542, 6.433542]","[0.743268, 0.723484]",768,16,512,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp04_d512_topk256_tick2.csv
sp04_d512_topk256_tick4,ctm,5.490217828750611,2596.1459055452797,41602.84033203125,2.5833334922790527,2.6666667461395264,4,-1.0,0.5,0.1351345968633804,63.90076701641799,0.08591787055294677,"[6.788946, 6.715963, 6.584791, 6.505422]","[0.788803, 0.751277, 0.745788, 0.725757]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp04_d512_topk256_tick4.csv
sp04_d768_topk384_tick1,ctm,5.340017557144165,5381.338570931778,20741.5263671875,0.0,0.0,1,-1.0,0.5,0.2636343093421575,265.67430955089105,0.020099864251726836,[6.151783],[0.70807],768,16,768,256,1,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp04_d768_topk384_tick1.csv
sp04_d768_topk384_tick2,ctm,5.445823049545288,3318.43352343936,32718.61474609375,0.8333333730697632,1.0,2,-1.0,0.5,0.1704388418033545,103.85757326133736,0.052435492940336025,"[6.616821, 6.473587]","[0.763058, 0.729742]",768,16,768,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp04_d768_topk384_tick2.csv
sp04_d768_topk384_tick4,ctm,5.536098623275757,1859.0745066443405,55885.74267578125,2.25,2.8333334922790527,4,-1.0,0.5,0.10143848357035593,34.06400637543629,0.16252047872054953,"[6.82064, 6.711346, 6.609502, 6.551372]","[0.757819, 0.750339, 0.746944, 0.729683]",768,16,768,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,1000,runs/metrics/sp04_d768_topk384_tick4.csv
sp05_confirm_d1024_topk512_sd2_mh2_tick2,ctm,5.0306316614151,2710.782962201274,40460.634765625,0.75,0.75,2,-1.0,0.5,0.12731799318347864,68.6059862721787,0.07332642433645965,"[5.908805, 5.842882]","[0.695319, 0.685147]",768,16,1024,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,2000,runs/metrics/sp05_confirm_d1024_topk512_sd2_mh2_tick2.csv
sp05_confirm_d512_dense_sd2_mh2_tick2,ctm,4.972941899299622,4982.376598137219,24687.96240234375,0.6666666865348816,0.8333333730697632,2,-1.0,1.0,0.2062662127352955,206.65754238219995,0.024063684499366023,"[5.718874, 5.678335]","[0.672952, 0.665524]",768,16,512,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,2000,runs/metrics/sp05_confirm_d512_dense_sd2_mh2_tick2.csv
sp05_confirm_d512_topk256_sd2_mh2_tick2,ctm,5.0482110500335695,4789.144156096297,25077.66943359375,0.6666666865348816,0.75,2,-1.0,0.5,0.20613431120156447,195.55579631626995,0.025814683814685612,"[5.969192, 5.890056]","[0.695796, 0.685419]",768,16,512,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,2000,runs/metrics/sp05_confirm_d512_topk256_sd2_mh2_tick2.csv
sp05_confirm_d768_topk384_sd2_mh2_tick2,,,3561.788,32718.175,,,,,,,111.47537758447713,,,,,,,,,,,,,,,,,,,,,,,,,,,,runs/metrics/sparsity_batch_profile.csv
sp05_confirm_d768_topk384_sd2_mh2_tick2,ctm,5.099947500228882,3428.9234113411335,32718.61474609375,0.9166666865348816,0.75,2,-1.0,0.5,0.15961391644363143,107.31559390461426,0.047522893129230484,"[6.110292, 5.974449]","[0.722584, 0.703589]",768,16,768,256,2,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,384,1,1,1,2000,runs/metrics/sp05_confirm_d768_topk384_sd2_mh2_tick2.csv
sp05_confirm_d768_topk384_sd2_mh2_tick2,,,1900.3629686422971,22893.68896484375,,,,,,,85.00035459021069,,,,,,,,,,,,,,,,,,,,,,,,,,,,runs/metrics/sparsity_batch_profile_quick.csv
