stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
sparsity,mazes_sparsity0p1_s2,mazes,sparsity0p1,2,ok,checkpoint.pt,100,100000,0.8842597333333334,0.8845073333333334,0.91293453125,0.9152455208333334,0.8892,0.88946,0.45018838346004486,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s2,parity,sparsity0p1,2,ok,checkpoint_200000.pt,201,200000,0.5769752139136904,0.6243813554067462,0.575535132998512,0.624729701450893,0.5872512090773809,0.8110671270461309,0.5774501845950172,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s3,parity,sparsity0p1,3,ok,checkpoint_200000.pt,201,200000,0.6920118737599208,0.6926199389260913,0.6916988699776784,0.6928092447916667,0.9066569010416666,0.9069010416666666,0.128913931903385,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s0,parity,sparsity0p1,0,ok,checkpoint_200000.pt,201,200000,0.7016439189608136,0.7035409303695436,0.7026285807291667,0.7035428292410715,0.9999505905877977,1.0,8.622364666297854e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p25_s1,mazes,sparsity0p25,1,ok,checkpoint.pt,100,100000,0.8823767999999999,0.8991670666666667,0.9085499479166667,0.9353518229166666,0.8931,0.90898,0.3648378513753414,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s1,parity,sparsity0p1,1,ok,checkpoint_200000.pt,201,200000,0.6344152250744048,0.6359768725198411,0.6337817770337302,0.6359175812251985,0.8536754789806548,0.8539399646577381,0.20354477280662173,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s4,parity,sparsity0p1,4,ok,checkpoint_200000.pt,201,200000,0.6871475461929563,0.689587169828869,0.6872565956721229,0.6899875992063493,0.9272896902901786,0.9272896902901786,0.10486580857208797,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s3,parity,sparsity0p25,3,ok,checkpoint_200000.pt,201,200000,0.7362140376984128,0.7377110072544643,0.7360699172247025,0.7377575489831348,0.9999883742559523,1.0,5.1117767551263615e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s0,parity,sparsity0p25,0,ok,checkpoint_200000.pt,201,200000,0.6672535342261905,0.6678724113343254,0.6663826884920634,0.668136005704365,0.9985235305059523,0.9988432384672619,0.0033868045291109454,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s3,mazes,sparsity0p5,3,ok,checkpoint.pt,100,100000,0.900546,0.9013635999999999,0.9490077083333333,0.9512663020833335,0.90606,0.90718,0.522883877158165,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s1,parity,sparsity0p25,1,ok,checkpoint_200000.pt,201,200000,0.7268071056547619,0.7327379014756945,0.7269268120659722,0.732562003968254,1.0,1.0,4.966693293412525e-10,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s2,parity,sparsity0p5,2,ok,checkpoint_200000.pt,201,200000,0.7363156079489087,0.7420903087797619,0.7363379293774801,0.7419911799355159,0.9999970935639881,1.0,1.0114883909363912e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s1,parity,sparsity0p5,1,ok,checkpoint_200000.pt,201,200000,0.6418811228918652,0.6510300796750992,0.6416381835937501,0.6516239226810517,0.7978224981398809,0.7984735398065477,0.2793302734692891,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s4,parity,sparsity0p25,4,ok,checkpoint_200000.pt,201,200000,0.7386536613343254,0.7396661861359128,0.7388403707837301,0.7395533776661705,0.9999883742559523,1.0,2.0417536882998465e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s0,parity,sparsity0p5,0,ok,checkpoint_200000.pt,201,200000,0.7415788147941469,0.7437723214285713,0.741467052641369,0.7439131479414682,1.0,1.0,2.5863809866121564e-10,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s4,parity,sparsity0p5,4,ok,checkpoint_200000.pt,201,200000,0.6490044487847222,0.7303153676835318,0.649449210999504,0.7302509223090278,0.8520885649181548,0.9997907366071429,0.20801658573604764,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,sort_sparsity0p5_s1,sort,sparsity0p5,1,ok,checkpoint.pt,101,100000,0.9,0.95,0.9111111111111111,0.95,,,0.03861981381972631,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p5_s3,parity,sparsity0p5,3,ok,checkpoint_200000.pt,201,200000,0.7603125775049603,0.7607071552579365,0.7604702225942461,0.7611329675099208,0.9999970935639881,1.0,1.0911642225832474e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,sort_sparsity0p5_s2,sort,sparsity0p5,2,ok,checkpoint.pt,101,100000,0.8628472222222222,0.8774305555555556,0.8479166666666667,0.8875,,,0.05607535938421885,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p5_s4,mazes,sparsity0p5,4,ok,checkpoint.pt,100,100000,0.8994158666666667,0.8996371999999998,0.9424758854166667,0.9438172916666666,0.90665,0.90796,0.47364769130945206,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,sort_sparsity0p5_s3,sort,sparsity0p5,3,ok,checkpoint.pt,101,100000,0.8434027777777777,0.8989583333333333,0.8086805555555555,0.8854166666666666,,,0.042038810749848686,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,sort_sparsity0p5_s0,sort,sparsity0p5,0,ok,checkpoint.pt,101,100000,0.8493055555555555,0.8861111111111111,0.8385416666666666,0.8878472222222222,,,0.06180770446856817,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,sort_sparsity0p5_s4,sort,sparsity0p5,4,ok,checkpoint.pt,101,100000,0.8986111111111111,0.8986111111111111,0.8253472222222222,0.9211805555555556,,,0.04110377033551534,512,4,4,4,,,random-pairing,32,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p75_s2,parity,sparsity0p75,2,ok,checkpoint_200000.pt,201,200000,0.6767504495287698,0.6772246636284723,0.6770732964409721,0.677440669952877,0.9085838681175595,0.9099062965029762,0.11726028152874537,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p75_s1,parity,sparsity0p75,1,ok,checkpoint_200000.pt,201,200000,0.7261921812996032,0.7465309942336309,0.7267356460813493,0.7465223524305556,0.9999970935639881,1.0,5.1321955944721206e-06,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p75_s0,mazes,sparsity0p75,0,ok,checkpoint.pt,100,100000,0.8798262666666666,0.8799121333333333,0.8970098958333333,0.8994167187500001,0.88838,0.88882,0.3718111664056778,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
