experiment_name,model_type,modality_pair,dataset,loss,contrastive_loss,tokens_per_sec,peak_memory_mb,temperature,pool_mode,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,synapse_depth,image_size,patch_size,embed_dim,batch_size,accumulation_steps,freeze_modality,loss_per_gb,global_step,metrics_file
fx05b_reflex_t1_m2_d512,ctm,,,5.639561700820923,,8256.576440594989,14052.669921875,,,768,16,512,256,1,2,4,3,,,,10,1,,0.410947614492186,1000,runs/metrics/fx05b_reflex_t1_m2_d512.csv
fx05c_reflex_t1_m4_d512,ctm,,,5.613837575912475,,7661.824430016319,14215.021484375,,,768,16,512,256,1,4,4,3,,,,10,1,,0.40440105447980795,1000,runs/metrics/fx05c_reflex_t1_m4_d512.csv
fx05f_regional_t2_m4_d512,ctm,,,5.636182689666748,,783.8886120938321,19645.3310546875,,,768,16,512,256,2,4,2,2,,,,10,1,,0.2937823271164293,1000,runs/metrics/fx05f_regional_t2_m4_d512.csv
fx07a_sync_distill_w0p01_d512,ctm,,,5.567924046516419,,1375.5267409291084,39550.5869140625,,,768,16,512,256,4,10,4,3,,,,10,1,,0.14415852376657357,1000,runs/metrics/fx07a_sync_distill_w0p01_d512.csv
fx07c_decay_s-2p0_e2p0_t8_d512,ctm,,,5.561128067970276,,1070.702291935444,56911.57373046875,,,768,16,512,256,8,10,4,3,,,,8,1,,0.10006040543828516,1000,runs/metrics/fx07c_decay_s-2p0_e2p0_t8_d512.csv
fx07c_decay_s1p0_e0p0_d512,ctm,,,5.464754509925842,,2466.130768800407,38835.05419921875,,,768,16,512,256,4,10,4,3,,,,10,1,,0.14409426569762934,1000,runs/metrics/fx07c_decay_s1p0_e0p0_d512.csv
mb00_smoke_image_depth,,image_depth,tartanrgbt,1.1360286712646483,1.1360286712646483,,,,,,,,,,,,,,,,,,,,20,runs/metrics/mb00_smoke_image_depth.json
mb00_smoke_image_text,,image_text,flickr30k,0.69140625,0.69140625,,,,,,,,,,,,,,,,,,,,20,runs/metrics/mb00_smoke_image_text.json
mb00_smoke_image_thermal,,image_thermal,tartanrgbt,0.8045089721679688,0.8045089721679688,,,,,,,,,,,,,,,,,,,,20,runs/metrics/mb00_smoke_image_thermal.json
mb00_smoke_video_imu,,video_imu,mcap_housing,1.3833496570587158,1.3833496570587158,,,,,,,,,,,,,,,,,,,,5,runs/metrics/mb00_smoke_video_imu.json
mb00_smoke_video_text,,video_text,msrvtt,0.69140625,0.69140625,,,,,,,,,,,,,,,,,,,,20,runs/metrics/mb00_smoke_video_text.json
mb01_flickr_d256_t10_b4,,image_text,flickr30k,1.3828125,1.3828125,,,,,,,,,,,,,,,,,,,,500,runs/metrics/mb01_flickr_d256_t10_b4.json
mb01_flickr_d256_t10_b4_temp005,,image_text,flickr30k,1.3828125,1.3828125,,,,,,,,,,,,,,,,,,,,500,runs/metrics/mb01_flickr_d256_t10_b4_temp005.json
mb01_flickr_d256_t10_b4_temp010,,image_text,flickr30k,1.3828125,1.3828125,,,,,,,,,,,,,,,,,,,,500,runs/metrics/mb01_flickr_d256_t10_b4_temp010.json
mb01_flickr_d256_t10_b8,,image_text,flickr30k,2.078125,2.078125,,,,,,,,,,,,,,,,,,,,500,runs/metrics/mb01_flickr_d256_t10_b8.json
mb01_flickr_d256_t15_b4,,image_text,flickr30k,1.3828125,1.3828125,,,,,,,,,,,,,,,,,,,,500,runs/metrics/multimodal_bind_summary.csv
mb01_flickr_d256_t15_b4,,image_text,flickr30k,1.3828125,1.3828125,,,,,,,,,,,,,,,,,,,,500,runs/metrics/mb01_flickr_d256_t15_b4.json
