env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
mountaincar-partial,flash,2,12.5,100.0,200,24181,198.0
mountaincar-partial,flash-shallow,2,0.0,100.0,200,24181,134.5
mountaincar-partial,flash-deep,2,0.0,100.0,200,24181,168.8
mountaincar-partial,mlp,3,0.0,100.0,200,24213,86.6
mountaincar-partial,ctm,3,0.0,100.0,200,24213,157.2
mountaincar-partial,lstm,3,0.0,100.0,200,24213,103.4
mountaincar-partial,gru,3,0.0,100.0,200,24213,100.6
mountaincar-partial,transformer,3,0.0,100.0,200,24213,240.7
mountaincar-partial,flash,3,0.0,100.0,200,24213,198.7
mountaincar-partial,flash-shallow,3,0.0,100.0,200,24213,133.7
mountaincar-partial,flash-deep,3,0.0,100.0,200,24213,170.1
mountaincar-partial,mlp,4,0.0,100.0,200,24179,86.2
mountaincar-partial,ctm,4,0.0,100.0,200,24179,155.7
mountaincar-partial,lstm,4,0.0,100.0,200,24179,103.9
mountaincar-partial,gru,4,0.0,100.0,200,24179,101.1
mountaincar-partial,transformer,4,0.0,100.0,200,24179,241.9
mountaincar-partial,flash,4,0.0,100.0,200,24179,198.7
mountaincar-partial,flash-shallow,4,0.0,100.0,200,24179,134.3
mountaincar-partial,flash-deep,4,0.0,100.0,200,24179,170.2
acrobot,mlp,0,95.83333333333333,100.0,200,20633,86.7
acrobot,ctm,0,91.66666666666667,100.0,200,20633,156.5
acrobot,lstm,0,100.0,100.0,200,20633,103.0
acrobot,gru,0,95.83333333333333,100.0,200,20633,100.2
acrobot,transformer,0,95.83333333333333,100.0,200,20633,238.7
acrobot,flash,0,95.83333333333333,100.0,200,20633,196.9
acrobot,flash-shallow,0,100.0,100.0,200,20633,133.5
acrobot,flash-deep,0,91.66666666666667,100.0,200,20633,169.3
acrobot,mlp,1,91.66666666666667,100.0,200,20641,86.6
acrobot,ctm,1,87.5,100.0,200,20641,156.4
acrobot,lstm,1,100.0,100.0,200,20641,103.2
acrobot,gru,1,100.0,100.0,200,20641,100.4
acrobot,transformer,1,91.66666666666667,100.0,200,20641,240.5
acrobot,flash,1,100.0,100.0,200,20641,195.6
acrobot,flash-shallow,1,95.83333333333333,100.0,200,20641,133.7
acrobot,flash-deep,1,95.83333333333333,100.0,200,20641,168.6
acrobot,mlp,2,100.0,100.0,200,20088,86.8
acrobot,ctm,2,100.0,100.0,200,20088,156.0
acrobot,lstm,2,100.0,100.0,200,20088,102.6
acrobot,gru,2,95.83333333333333,100.0,200,20088,99.6
acrobot,transformer,2,91.66666666666667,100.0,200,20088,239.3
acrobot,flash,2,91.66666666666667,100.0,200,20088,197.8
acrobot,flash-shallow,2,91.66666666666667,100.0,200,20088,133.7
