stage,task,sweep,seed,best_test_acc,final_test_acc,best_test_acc_mc,delta_pp,n_points,final_iter
st01,parity,nst_first-last,1.0,0.6775043015252976,0.6766597687251984,0.928463890438988,-0.21956984747023567,201,200000
st01,parity,nst_first-last,2.0,0.7748938182043651,0.7742812189980159,0.9999709356398808,9.519381820436513,201,200000
st01,parity,nst_first-last,,0.775967029389881,0.7475123232886905,0.9994332449776786,9.626702938988107,201,200000
st01,parity,nst_random,1.0,0.7077302672371032,0.707051285032242,0.9689069475446428,2.8030267237103224,201,200000
st01,parity,nst_random,2.0,0.6848913380456351,0.6491181098090277,0.9999447777157738,0.5191338045635097,201,200000
st01,parity,nst_random,,0.6797130766369047,0.6797026909722222,0.8820684523809523,0.0013076636904751915,201,200000
st01,parity,nst_random-pairing,1.0,0.6964844912574405,0.6950856042286707,0.8055594308035714,1.6784491257440526,201,200000
st01,parity,nst_random-pairing,2.0,0.6858825102306548,0.6796895538814484,0.7951602027529762,0.6182510230654858,201,200000
st01,parity,nst_random-pairing,,0.6961503673735119,0.6957807074652778,0.8226521809895834,1.645036737351191,201,200000
st01,parity,synapse_depthsd1,1.0,0.7077302672371032,0.707051285032242,0.9689069475446428,2.8030267237103224,201,200000
st01,parity,synapse_depthsd1,2.0,0.6848913380456351,0.6491181098090277,0.9999447777157738,0.5191338045635097,201,200000
st01,parity,synapse_depthsd1,,0.6797130766369047,0.6797026909722222,0.8820684523809523,0.0013076636904751915,201,200000
st01,parity,synapse_depthsd2,1.0,0.7496412682911707,0.7468902684771825,1.0,6.994126829117075,201,200000
st01,parity,synapse_depthsd2,2.0,0.749585697234623,0.7394416542658729,1.0,6.988569723462302,201,200000
st01,parity,synapse_depthsd2,,0.7357315693204366,0.7269269283234127,1.0,5.603156932043662,201,200000
st01,parity,synapse_depthsd8,1.0,0.7128049820188492,0.7074883355034722,1.0,3.310498201884926,201,200000
st01,parity,synapse_depthsd8,2.0,0.8253214518229166,0.8253214518229166,0.9473005022321428,14.562145182291664,201,200000
st01,parity,synapse_depthsd8,,0.7192597113715278,0.7098048812624008,0.9999302455357144,3.9559711371527806,201,200000
st02,parity,tick1,1.0,0.6574677966889881,0.6557529994419643,0.6574677966889881,-2.2232203311011833,201,200000
st02,parity,tick1,2.0,0.6484229678199405,0.64703369140625,0.6484229678199405,-3.1277032180059505,201,200000
st02,parity,tick1,,0.6495419456845238,0.6478009905133929,0.6495419456845238,-3.0158054315476135,201,200000
st02,parity,tick10,1.0,0.5877999441964286,0.586433337983631,0.7379847935267857,-9.190005580357141,201,200000
